id;name;introduced;removed;hardware;software
1;smirk seldom;2023-12-04;2023-12-04;34;8
2;inn;2023-12-05;2023-12-05;16;30
3;fortunately rectangular mmm;2023-12-05;2023-12-05;37;35
4;deceivingly descriptive;2023-12-05;2023-12-04;25;20
5;modulo liquidise intensely;2023-12-04;2023-12-05;5;18
6;deviate fast detach;2023-12-04;2023-12-05;21;34
7;because ladybug;2023-12-04;2023-12-04;23;35
8;optimisation;2023-12-05;2023-12-04;37;19
9;indeed;2023-12-04;2023-12-04;33;41
10;regarding;2023-12-04;2023-12-05;26;50
